RoadAccidents055_x264: [('Road Accidents', 0.6942875), ('Vandalism', 0.6893528), ('Burglary', 0.67839336), ('Normal Videos', 0.6539328), ('Arson', 0.6354321), ('Explosion', 0.6268479), ('Robbery', 0.61219466), ('Shooting', 0.60954404), ('Abuse', 0.596717), ('Fighting', 0.59555435), ('Shoplifting', 0.5927677), ('Assault', 0.58792454), ('Arrest', 0.58707255), ('Stealing', 0.5786124)]
RoadAccidents100_x264: [('Road Accidents', 0.7971654), ('Burglary', 0.7612523), ('Vandalism', 0.75545454), ('Explosion', 0.7294497), ('Normal Videos', 0.7248453), ('Arson', 0.7223957), ('Shooting', 0.70329225), ('Fighting', 0.6990862), ('Abuse', 0.6929552), ('Assault', 0.6920171), ('Robbery', 0.687145), ('Arrest', 0.6855666), ('Stealing', 0.6712932), ('Shoplifting', 0.6540066)]
RoadAccidents137_x264: [('Burglary', 0.4856934), ('Vandalism', 0.47756705), ('Shoplifting', 0.44918907), ('Road Accidents', 0.44131866), ('Arson', 0.420805), ('Robbery', 0.38879687), ('Normal Videos', 0.38477284), ('Explosion', 0.3566405), ('Fighting', 0.3095652), ('Abuse', 0.3046823), ('Stealing', 0.30207378), ('Shooting', 0.29905015), ('Arrest', 0.2849015), ('Assault', 0.2750122)]
RoadAccidents088_x264: [('Road Accidents', 0.5202925), ('Burglary', 0.50039977), ('Vandalism', 0.4987467), ('Arson', 0.488899), ('Shoplifting', 0.46500945), ('Normal Videos', 0.4594268), ('Robbery', 0.4339382), ('Explosion', 0.42185962), ('Fighting', 0.4091178), ('Shooting', 0.40597165), ('Abuse', 0.3841138), ('Arrest', 0.38201585), ('Assault', 0.38113937), ('Stealing', 0.37530828)]
RoadAccidents124_x264: [('Vandalism', 0.46540686), ('Shoplifting', 0.4423101), ('Road Accidents', 0.4268276), ('Burglary', 0.42677224), ('Arson', 0.37944978), ('Normal Videos', 0.36392263), ('Robbery', 0.3638038), ('Explosion', 0.3150372), ('Fighting', 0.29164457), ('Shooting', 0.2847355), ('Abuse', 0.28064346), ('Stealing', 0.27387768), ('Arrest', 0.26217496), ('Assault', 0.2514491)]
RoadAccidents134_x264: [('Burglary', 0.57920265), ('Vandalism', 0.5762036), ('Road Accidents', 0.5608246), ('Shoplifting', 0.5208974), ('Arson', 0.50819415), ('Normal Videos', 0.49552304), ('Robbery', 0.48859292), ('Explosion', 0.4704097), ('Fighting', 0.43233028), ('Abuse', 0.4232996), ('Shooting', 0.422849), ('Stealing', 0.42029825), ('Arrest', 0.4084678), ('Assault', 0.40002033)]
RoadAccidents120_x264: [('Vandalism', 0.47393146), ('Road Accidents', 0.47246593), ('Burglary', 0.46908545), ('Shoplifting', 0.44743574), ('Normal Videos', 0.44395417), ('Arson', 0.43033957), ('Robbery', 0.41405967), ('Explosion', 0.39972454), ('Shooting', 0.36888224), ('Fighting', 0.36642724), ('Abuse', 0.35551906), ('Stealing', 0.34998977), ('Arrest', 0.34721735), ('Assault', 0.3367313)]
RoadAccidents079_x264: [('Burglary', 0.41531652), ('Shoplifting', 0.41041058), ('Normal Videos', 0.40893614), ('Road Accidents', 0.40717947), ('Vandalism', 0.4064256), ('Arson', 0.38567647), ('Robbery', 0.3673503), ('Explosion', 0.36191896), ('Shooting', 0.35671067), ('Fighting', 0.34789145), ('Stealing', 0.34399796), ('Abuse', 0.33943117), ('Arrest', 0.33509657), ('Assault', 0.31556776)]
RoadAccidents076_x264: [('Road Accidents', 0.582247), ('Vandalism', 0.5552857), ('Burglary', 0.5483839), ('Arson', 0.5396847), ('Normal Videos', 0.5357689), ('Explosion', 0.5147983), ('Robbery', 0.5105387), ('Shooting', 0.5065121), ('Fighting', 0.50505996), ('Arrest', 0.4976726), ('Abuse', 0.49285015), ('Shoplifting', 0.49097946), ('Assault', 0.4870293), ('Stealing', 0.48570293)]
RoadAccidents092_x264: [('Burglary', 0.5349443), ('Road Accidents', 0.5236017), ('Vandalism', 0.51216716), ('Shoplifting', 0.48478526), ('Arson', 0.48344064), ('Normal Videos', 0.4485239), ('Robbery', 0.4482442), ('Explosion', 0.43850872), ('Fighting', 0.4115745), ('Shooting', 0.40060735), ('Abuse', 0.396849), ('Stealing', 0.3852169), ('Arrest', 0.38135487), ('Assault', 0.37456623)]
RoadAccidents010_x264: [('Vandalism', 0.65262413), ('Road Accidents', 0.63952446), ('Burglary', 0.6326122), ('Normal Videos', 0.6268288), ('Shoplifting', 0.608775), ('Arson', 0.60627556), ('Explosion', 0.60009176), ('Robbery', 0.59722114), ('Fighting', 0.5720968), ('Stealing', 0.5682154), ('Abuse', 0.56458545), ('Shooting', 0.55961597), ('Arrest', 0.54605865), ('Assault', 0.5362299)]
RoadAccidents126_x264: [('Road Accidents', 0.5481243), ('Burglary', 0.52281654), ('Shoplifting', 0.51814127), ('Vandalism', 0.51529956), ('Arson', 0.51483566), ('Normal Videos', 0.5147276), ('Robbery', 0.48961228), ('Explosion', 0.4699754), ('Fighting', 0.45242703), ('Shooting', 0.44650882), ('Abuse', 0.432255), ('Stealing', 0.43150204), ('Arrest', 0.42240226), ('Assault', 0.405924)]
RoadAccidents146_x264: [('Burglary', 0.585316), ('Vandalism', 0.5797063), ('Road Accidents', 0.56165266), ('Normal Videos', 0.5164448), ('Shoplifting', 0.51218486), ('Arson', 0.50569445), ('Robbery', 0.48469514), ('Explosion', 0.46602875), ('Shooting', 0.4338335), ('Fighting', 0.42766505), ('Abuse', 0.41732278), ('Arrest', 0.40956888), ('Stealing', 0.40629458), ('Assault', 0.40269968)]
RoadAccidents128_x264: [('Vandalism', 0.6324606), ('Road Accidents', 0.6146692), ('Burglary', 0.61030555), ('Arson', 0.56234556), ('Normal Videos', 0.55875415), ('Shoplifting', 0.55223715), ('Explosion', 0.5340548), ('Robbery', 0.53317034), ('Shooting', 0.5074917), ('Fighting', 0.49794525), ('Abuse', 0.48898482), ('Arrest', 0.48214066), ('Stealing', 0.47691944), ('Assault', 0.4728415)]
RoadAccidents039_x264: [('Burglary', 0.672925), ('Vandalism', 0.6680298), ('Road Accidents', 0.6439886), ('Arson', 0.58778286), ('Normal Videos', 0.58243525), ('Explosion', 0.57625616), ('Shoplifting', 0.56032676), ('Robbery', 0.5549955), ('Fighting', 0.52374434), ('Shooting', 0.5202326), ('Abuse', 0.51850593), ('Arrest', 0.5071728), ('Stealing', 0.5041433), ('Assault', 0.5032419)]
RoadAccidents116_x264: [('Road Accidents', 0.7679265), ('Vandalism', 0.7535912), ('Burglary', 0.74149877), ('Arson', 0.7187216), ('Explosion', 0.71703374), ('Normal Videos', 0.7083769), ('Fighting', 0.69723123), ('Abuse', 0.69610095), ('Shooting', 0.69018483), ('Robbery', 0.68073344), ('Assault', 0.6800402), ('Shoplifting', 0.6778054), ('Arrest', 0.6690588), ('Stealing', 0.6684166)]
RoadAccidents148_x264: [('Vandalism', 0.43398082), ('Burglary', 0.4318745), ('Road Accidents', 0.42698944), ('Shoplifting', 0.4104498), ('Arson', 0.40805763), ('Robbery', 0.3558467), ('Normal Videos', 0.34284633), ('Explosion', 0.32854748), ('Fighting', 0.29741263), ('Shooting', 0.28997946), ('Abuse', 0.2863465), ('Stealing', 0.27956676), ('Arrest', 0.26965928), ('Assault', 0.26636153)]
RoadAccidents103_x264: [('Vandalism', 0.54196054), ('Road Accidents', 0.5402976), ('Burglary', 0.5348451), ('Shoplifting', 0.5336548), ('Normal Videos', 0.5206926), ('Arson', 0.50911057), ('Robbery', 0.4994481), ('Explosion', 0.46181157), ('Fighting', 0.44860846), ('Shooting', 0.4469527), ('Stealing', 0.43145186), ('Abuse', 0.4308015), ('Arrest', 0.41437325), ('Assault', 0.40763324)]
RoadAccidents074_x264: [('Road Accidents', 0.45280713), ('Vandalism', 0.44070143), ('Burglary', 0.42798942), ('Arson', 0.4036285), ('Shoplifting', 0.38743567), ('Normal Videos', 0.36495405), ('Explosion', 0.35865042), ('Robbery', 0.34606725), ('Fighting', 0.32119402), ('Shooting', 0.32038406), ('Abuse', 0.3140685), ('Arrest', 0.31187758), ('Assault', 0.3033079), ('Stealing', 0.29325435)]
RoadAccidents012_x264: [('Vandalism', 0.5181474), ('Burglary', 0.49989086), ('Road Accidents', 0.49331027), ('Shoplifting', 0.47511274), ('Arson', 0.44351417), ('Robbery', 0.4345026), ('Normal Videos', 0.4251055), ('Explosion', 0.39492038), ('Fighting', 0.35765994), ('Shooting', 0.3499791), ('Stealing', 0.3477281), ('Abuse', 0.34750414), ('Arrest', 0.33840978), ('Assault', 0.3239556)]
RoadAccidents006_x264: [('Burglary', 0.55227476), ('Road Accidents', 0.53954697), ('Vandalism', 0.5237958), ('Arson', 0.50892276), ('Shoplifting', 0.49361956), ('Normal Videos', 0.46438026), ('Robbery', 0.45947754), ('Explosion', 0.45009655), ('Fighting', 0.42646232), ('Shooting', 0.41552877), ('Abuse', 0.40893847), ('Stealing', 0.4022466), ('Arrest', 0.39940798), ('Assault', 0.39152235)]
RoadAccidents102_x264: [('Vandalism', 0.54111195), ('Burglary', 0.5313582), ('Road Accidents', 0.4966483), ('Shoplifting', 0.44768664), ('Arson', 0.4452535), ('Robbery', 0.42353258), ('Normal Videos', 0.40510273), ('Explosion', 0.38647515), ('Abuse', 0.3472991), ('Shooting', 0.34062883), ('Stealing', 0.33526754), ('Fighting', 0.3335772), ('Arrest', 0.33264157), ('Assault', 0.32415605)]
RoadAccidents068_x264: [('Vandalism', 0.53816664), ('Road Accidents', 0.50242525), ('Shoplifting', 0.4923762), ('Burglary', 0.49177843), ('Normal Videos', 0.4613933), ('Arson', 0.46082443), ('Robbery', 0.43287948), ('Explosion', 0.42025822), ('Shooting', 0.39562958), ('Fighting', 0.39222664), ('Abuse', 0.3874512), ('Stealing', 0.37007663), ('Arrest', 0.3689905), ('Assault', 0.35945117)]
RoadAccidents077_x264: [('Vandalism', 0.50320446), ('Burglary', 0.50150895), ('Road Accidents', 0.49286923), ('Shoplifting', 0.4739921), ('Arson', 0.46211225), ('Normal Videos', 0.4494619), ('Robbery', 0.43097872), ('Explosion', 0.40988278), ('Fighting', 0.38613647), ('Shooting', 0.38139078), ('Abuse', 0.36577126), ('Stealing', 0.3633999), ('Arrest', 0.3521465), ('Assault', 0.34988973)]
RoadAccidents021_x264: [('Vandalism', 0.64665335), ('Burglary', 0.62750494), ('Road Accidents', 0.58821213), ('Shoplifting', 0.58249325), ('Arson', 0.54798055), ('Robbery', 0.5425693), ('Normal Videos', 0.5218866), ('Explosion', 0.5126276), ('Shooting', 0.45592886), ('Fighting', 0.4547809), ('Abuse', 0.45172173), ('Stealing', 0.45056266), ('Arrest', 0.44225088), ('Assault', 0.43595138)]
RoadAccidents110_x264: [('Vandalism', 0.63489807), ('Road Accidents', 0.60810816), ('Burglary', 0.60359454), ('Shoplifting', 0.56752753), ('Normal Videos', 0.56200755), ('Arson', 0.55470616), ('Robbery', 0.5350686), ('Explosion', 0.5248123), ('Shooting', 0.49223018), ('Fighting', 0.49175382), ('Abuse', 0.47950196), ('Arrest', 0.4670981), ('Stealing', 0.4666627), ('Assault', 0.45962113)]
