Abuse001_x264: [('Fighting', 0.30537155), ('Shooting', 0.18349612), ('Vandalism', 0.17987147), ('Normal Videos', 0.1674006), ('Arson', 0.16227728), ('Arrest', 0.12186389), ('Explosion', 0.11755353), ('Accident', 0.09152554), ('Abuse', 0.08819868), ('Stealing', 0.08510065), ('Burglary', 0.08301012), ('Robbery', 0.07686375), ('Assault', 0.072600104), ('Shoplifting', 0.047343165)]
Abuse002_x264: [('Accident', 0.2919382), ('Vandalism', 0.27277368), ('Shoplifting', 0.21390846), ('Robbery', 0.21169421), ('Arrest', 0.19671878), ('Stealing', 0.19572648), ('Burglary', 0.19568413), ('Assault', 0.16065133), ('Normal Videos', 0.15792705), ('Fighting', 0.15174806), ('Abuse', 0.13905543), ('Shooting', 0.13282585), ('Explosion', 0.1320438), ('Arson', 0.12441239)]
Abuse003_x264: [('Vandalism', 0.27858877), ('Fighting', 0.24667627), ('Shooting', 0.20768489), ('Abuse', 0.19420484), ('Burglary', 0.18885538), ('Normal Videos', 0.17584622), ('Arson', 0.1745077), ('Accident', 0.17336804), ('Assault', 0.17273962), ('Arrest', 0.16417778), ('Shoplifting', 0.16018558), ('Stealing', 0.15826118), ('Robbery', 0.15750495), ('Explosion', 0.14237103)]
Abuse004_x264: [('Fighting', 0.24188353), ('Shooting', 0.20753917), ('Normal Videos', 0.20338723), ('Vandalism', 0.20036872), ('Arrest', 0.19834206), ('Burglary', 0.18021642), ('Accident', 0.1685482), ('Abuse', 0.16177669), ('Stealing', 0.15924768), ('Robbery', 0.15814121), ('Arson', 0.14120533), ('Shoplifting', 0.12439754), ('Assault', 0.113130614), ('Explosion', 0.07027179)]
Abuse005_x264: [('Arrest', 0.42276686), ('Robbery', 0.33701938), ('Burglary', 0.33615106), ('Vandalism', 0.3227984), ('Fighting', 0.31222364), ('Stealing', 0.29363367), ('Shooting', 0.2811511), ('Shoplifting', 0.27855796), ('Abuse', 0.2686279), ('Accident', 0.25360075), ('Arson', 0.23258619), ('Assault', 0.23031598), ('Normal Videos', 0.21949366), ('Explosion', 0.21817514)]
Abuse006_x264: [('Burglary', 0.37651432), ('Vandalism', 0.3686755), ('Robbery', 0.36109623), ('Stealing', 0.32971287), ('Arrest', 0.32716003), ('Assault', 0.3201927), ('Shoplifting', 0.31936893), ('Shooting', 0.27726245), ('Fighting', 0.26664364), ('Abuse', 0.26139247), ('Accident', 0.25144196), ('Normal Videos', 0.24643287), ('Arson', 0.22965984), ('Explosion', 0.17587262)]
Abuse007_x264: [('Vandalism', 0.2708307), ('Shooting', 0.26008594), ('Fighting', 0.24028793), ('Normal Videos', 0.23806086), ('Explosion', 0.22059879), ('Arson', 0.20138639), ('Arrest', 0.1933893), ('Assault', 0.17823131), ('Burglary', 0.14917015), ('Abuse', 0.13972366), ('Robbery', 0.13364932), ('Accident', 0.12439445), ('Stealing', 0.115930736), ('Shoplifting', 0.09220734)]
Abuse008_x264: [('Arrest', 0.2797656), ('Robbery', 0.2660836), ('Burglary', 0.26312327), ('Fighting', 0.25462514), ('Stealing', 0.23789293), ('Vandalism', 0.23724043), ('Shoplifting', 0.23047636), ('Abuse', 0.19846581), ('Shooting', 0.15667324), ('Assault', 0.140184), ('Normal Videos', 0.13746631), ('Arson', 0.13264972), ('Accident', 0.10534839), ('Explosion', 0.08944592)]
Abuse009_x264: [('Vandalism', 0.34573525), ('Arrest', 0.24852997), ('Abuse', 0.24071075), ('Burglary', 0.22451165), ('Robbery', 0.22397304), ('Normal Videos', 0.21167822), ('Shoplifting', 0.20872402), ('Assault', 0.19535233), ('Stealing', 0.18794897), ('Arson', 0.17353147), ('Shooting', 0.17290941), ('Accident', 0.16929433), ('Fighting', 0.16732027), ('Explosion', 0.15781277)]
Abuse010_x264: [('Vandalism', 0.39371246), ('Burglary', 0.38650775), ('Robbery', 0.34336734), ('Fighting', 0.32423276), ('Arson', 0.30685133), ('Stealing', 0.30514362), ('Shoplifting', 0.30439413), ('Shooting', 0.3007108), ('Normal Videos', 0.28741294), ('Arrest', 0.2713716), ('Explosion', 0.26666003), ('Assault', 0.22894621), ('Abuse', 0.20232594), ('Accident', 0.19794035)]
Abuse011_x264: [('Assault', 0.32123917), ('Vandalism', 0.32010168), ('Abuse', 0.3048103), ('Fighting', 0.27512556), ('Shooting', 0.26322892), ('Burglary', 0.25361517), ('Arson', 0.24509504), ('Arrest', 0.24231592), ('Explosion', 0.2188431), ('Robbery', 0.21461812), ('Accident', 0.2042555), ('Normal Videos', 0.20018068), ('Stealing', 0.19911857), ('Shoplifting', 0.16924159)]
Abuse012_x264: [('Normal Videos', 0.1938628), ('Burglary', 0.18213384), ('Vandalism', 0.181491), ('Abuse', 0.17186257), ('Robbery', 0.16540395), ('Stealing', 0.15354279), ('Shoplifting', 0.14776722), ('Arrest', 0.1447016), ('Shooting', 0.14153168), ('Accident', 0.13922644), ('Fighting', 0.09917612), ('Assault', 0.09206697), ('Arson', 0.08864878), ('Explosion', 0.032783136)]
Abuse013_x264: [('Fighting', 0.32512337), ('Shooting', 0.22282328), ('Normal Videos', 0.20975322), ('Vandalism', 0.18415183), ('Robbery', 0.17342535), ('Stealing', 0.16739275), ('Arson', 0.16497669), ('Assault', 0.16231376), ('Burglary', 0.1535201), ('Abuse', 0.13253278), ('Arrest', 0.120487675), ('Shoplifting', 0.11639314), ('Accident', 0.113803595), ('Explosion', 0.10901786)]
Abuse014_x264: [('Vandalism', 0.33395237), ('Fighting', 0.27517396), ('Stealing', 0.26582468), ('Burglary', 0.25525784), ('Robbery', 0.2512931), ('Shoplifting', 0.23859166), ('Normal Videos', 0.21392834), ('Abuse', 0.21391767), ('Arson', 0.20661123), ('Accident', 0.19376637), ('Shooting', 0.15316924), ('Assault', 0.14689791), ('Explosion', 0.13684893), ('Arrest', 0.12527707)]
