Abuse001_x264: [('Fighting', 0.2473864), ('Assault', 0.24733552), ('Abuse', 0.22662574), ('Explosion', 0.2183716), ('Burglary', 0.21833363), ('Arrest', 0.19959828), ('Vandalism', 0.19219466), ('Robbery', 0.18040663), ('Normal_Videos_', 0.1694072), ('Arson', 0.15237531), ('RoadAccidents', 0.1517644), ('Shooting', 0.14273702), ('Stealing', 0.13822368), ('Shoplifting', 0.11471912)]
Abuse002_x264: [('RoadAccidents', 0.39982027), ('Assault', 0.2750451), ('Arrest', 0.27239722), ('Abuse', 0.2459465), ('Robbery', 0.2214492), ('Burglary', 0.21884868), ('Vandalism', 0.21822298), ('Explosion', 0.21337003), ('Shoplifting', 0.18146765), ('Fighting', 0.17578013), ('Stealing', 0.16941464), ('Shooting', 0.151027), ('Normal_Videos_', 0.13996592), ('Arson', 0.1357065)]
Abuse003_x264: [('Abuse', 0.27760196), ('RoadAccidents', 0.27105087), ('Assault', 0.26122355), ('Vandalism', 0.2209717), ('Fighting', 0.21066356), ('Arrest', 0.19014776), ('Explosion', 0.18928683), ('Burglary', 0.18441853), ('Robbery', 0.16638768), ('Arson', 0.15363275), ('Shooting', 0.14621198), ('Stealing', 0.14334315), ('Shoplifting', 0.121959895), ('Normal_Videos_', 0.101279855)]
Abuse004_x264: [('Arrest', 0.44383025), ('Assault', 0.35202497), ('Fighting', 0.29745436), ('Burglary', 0.29174218), ('Abuse', 0.2877702), ('Robbery', 0.26329127), ('RoadAccidents', 0.2606442), ('Vandalism', 0.23239553), ('Stealing', 0.1884114), ('Explosion', 0.18426274), ('Shoplifting', 0.18093324), ('Arson', 0.14911385), ('Shooting', 0.14077547), ('Normal_Videos_', 0.11893002)]
Abuse005_x264: [('Arrest', 0.3583679), ('Burglary', 0.33723283), ('Assault', 0.31529903), ('Robbery', 0.30006307), ('RoadAccidents', 0.26226375), ('Vandalism', 0.25524503), ('Fighting', 0.25447223), ('Explosion', 0.23530015), ('Abuse', 0.21797612), ('Stealing', 0.21529639), ('Shoplifting', 0.20865224), ('Arson', 0.20227845), ('Shooting', 0.17341992), ('Normal_Videos_', 0.1548425)]
Abuse006_x264: [('Arrest', 0.43343115), ('Assault', 0.322957), ('RoadAccidents', 0.31611934), ('Abuse', 0.28320616), ('Robbery', 0.25844622), ('Burglary', 0.2500645), ('Fighting', 0.2355999), ('Vandalism', 0.21728535), ('Stealing', 0.2106479), ('Explosion', 0.19193783), ('Shoplifting', 0.19030628), ('Shooting', 0.17709574), ('Arson', 0.15661246), ('Normal_Videos_', 0.13953668)]
Abuse007_x264: [('Assault', 0.35494685), ('Fighting', 0.28568077), ('Robbery', 0.27873015), ('Burglary', 0.27419838), ('Abuse', 0.2733749), ('Vandalism', 0.2351662), ('RoadAccidents', 0.23122638), ('Arrest', 0.23034766), ('Shoplifting', 0.2087248), ('Explosion', 0.20795813), ('Shooting', 0.19499126), ('Stealing', 0.18309495), ('Normal_Videos_', 0.16923991), ('Arson', 0.15773928)]
Abuse008_x264: [('Arrest', 0.4032034), ('Burglary', 0.31565696), ('Assault', 0.3136001), ('Abuse', 0.29289916), ('Robbery', 0.26131958), ('Vandalism', 0.22872606), ('Shoplifting', 0.22823471), ('Stealing', 0.21882758), ('RoadAccidents', 0.21308577), ('Normal_Videos_', 0.184793), ('Explosion', 0.16702044), ('Arson', 0.15793891), ('Fighting', 0.1479276), ('Shooting', 0.087537095)]
Abuse009_x264: [('Assault', 0.35910875), ('Fighting', 0.35592595), ('Arrest', 0.3474271), ('RoadAccidents', 0.32588863), ('Abuse', 0.31486332), ('Robbery', 0.29353553), ('Vandalism', 0.2736945), ('Shooting', 0.26710713), ('Shoplifting', 0.25679812), ('Burglary', 0.2547808), ('Explosion', 0.23034896), ('Stealing', 0.22073615), ('Arson', 0.20660004), ('Normal_Videos_', 0.14328536)]
Abuse010_x264: [('RoadAccidents', 0.30096984), ('Normal_Videos_', 0.19980979), ('Explosion', 0.19233948), ('Abuse', 0.17430013), ('Arrest', 0.1737144), ('Assault', 0.16175593), ('Burglary', 0.15002675), ('Vandalism', 0.14821967), ('Fighting', 0.14679241), ('Shoplifting', 0.14119309), ('Stealing', 0.13921548), ('Shooting', 0.13584033), ('Robbery', 0.12567343), ('Arson', 0.1228489)]
Abuse011_x264: [('Assault', 0.33178416), ('Abuse', 0.3155175), ('Fighting', 0.28596836), ('Burglary', 0.28554052), ('Arrest', 0.22877187), ('Robbery', 0.22859316), ('Vandalism', 0.21542169), ('Explosion', 0.1940426), ('Arson', 0.18838379), ('Stealing', 0.17993157), ('RoadAccidents', 0.16880703), ('Shoplifting', 0.16212802), ('Normal_Videos_', 0.15377428), ('Shooting', 0.11164035)]
Abuse012_x264: [('Abuse', 0.30565637), ('Assault', 0.28591958), ('Burglary', 0.2687952), ('Robbery', 0.25037384), ('Vandalism', 0.23073551), ('Arrest', 0.22694086), ('Fighting', 0.21461701), ('Stealing', 0.2118788), ('Shoplifting', 0.2025826), ('Arson', 0.18811968), ('Explosion', 0.17807752), ('RoadAccidents', 0.17158748), ('Normal_Videos_', 0.16921777), ('Shooting', 0.1264958)]
