RoadAccidents055: [('Road Accidents', 0.9256828), ('Burglary', 0.9053169), ('Explosion', 0.901189), ('Assault', 0.873768), ('Abuse', 0.8696256), ('Normal Videos', 0.866782), ('Arson', 0.8640655), ('Shooting', 0.8599095), ('Fighting', 0.85452497), ('Arrest', 0.85448164), ('Vandalism', 0.8492813), ('Robbery', 0.842636), ('Stealing', 0.83714885), ('Shoplifting', 0.73998857)]
RoadAccidents100: [('Explosion', 0.89013577), ('Fighting', 0.8893168), ('Abuse', 0.88546133), ('Normal Videos', 0.8848916), ('Assault', 0.88198113), ('Road Accidents', 0.8749975), ('Shooting', 0.8749312), ('Stealing', 0.8711604), ('Arrest', 0.8707848), ('Robbery', 0.83856416), ('Burglary', 0.8329903), ('Vandalism', 0.8322376), ('Arson', 0.81882375), ('Shoplifting', 0.74599797)]
RoadAccidents137: [('Explosion', 0.89844406), ('Fighting', 0.86838263), ('Burglary', 0.868378), ('Normal Videos', 0.86739975), ('Assault', 0.86646533), ('Abuse', 0.86492807), ('Shooting', 0.8632841), ('Stealing', 0.8595774), ('Arrest', 0.85932994), ('Road Accidents', 0.8570889), ('Arson', 0.8337148), ('Vandalism', 0.8304273), ('Robbery', 0.8245274), ('Shoplifting', 0.7091238)]
RoadAccidents088: [('Explosion', 0.9017682), ('Road Accidents', 0.8805847), ('Shooting', 0.8771883), ('Assault', 0.8755644), ('Fighting', 0.87378883), ('Normal Videos', 0.86870027), ('Arrest', 0.86352926), ('Abuse', 0.8629066), ('Burglary', 0.8557), ('Stealing', 0.8441037), ('Arson', 0.8180388), ('Vandalism', 0.8117382), ('Robbery', 0.7928744), ('Shoplifting', 0.6681794)]
RoadAccidents124: [('Explosion', 0.94025445), ('Assault', 0.92336816), ('Abuse', 0.9179088), ('Shooting', 0.9172449), ('Fighting', 0.91618013), ('Arrest', 0.91447806), ('Stealing', 0.91004556), ('Normal Videos', 0.8994863), ('Road Accidents', 0.87894124), ('Burglary', 0.863374), ('Robbery', 0.8392079), ('Vandalism', 0.8328239), ('Arson', 0.8300917), ('Shoplifting', 0.756943)]
RoadAccidents134: [('Explosion', 0.8615768), ('Burglary', 0.8441973), ('Normal Videos', 0.8390169), ('Road Accidents', 0.8339373), ('Fighting', 0.82446843), ('Stealing', 0.82040817), ('Abuse', 0.8173212), ('Assault', 0.8168856), ('Shooting', 0.8165705), ('Arrest', 0.81275934), ('Robbery', 0.80075324), ('Arson', 0.7998953), ('Vandalism', 0.79795796), ('Shoplifting', 0.7123021)]
RoadAccidents120: [('Explosion', 0.93948925), ('Assault', 0.9351544), ('Shooting', 0.9350296), ('Abuse', 0.92796516), ('Fighting', 0.926334), ('Normal Videos', 0.92211366), ('Arrest', 0.92058647), ('Stealing', 0.9116058), ('Road Accidents', 0.87087727), ('Burglary', 0.8464973), ('Arson', 0.84430575), ('Robbery', 0.8267466), ('Vandalism', 0.81720126), ('Shoplifting', 0.7399031)]
RoadAccidents079: [('Burglary', 0.85966486), ('Explosion', 0.8585998), ('Road Accidents', 0.8429436), ('Normal Videos', 0.8318769), ('Fighting', 0.82877266), ('Shooting', 0.82749116), ('Vandalism', 0.8268075), ('Assault', 0.82511187), ('Abuse', 0.82373387), ('Stealing', 0.817273), ('Arrest', 0.8168811), ('Arson', 0.8128325), ('Robbery', 0.8053082), ('Shoplifting', 0.749287)]
RoadAccidents076: [('Explosion', 0.9205009), ('Assault', 0.9067621), ('Fighting', 0.9033919), ('Abuse', 0.9009149), ('Shooting', 0.90015763), ('Road Accidents', 0.8978539), ('Normal Videos', 0.89739007), ('Arrest', 0.89456797), ('Stealing', 0.88671875), ('Burglary', 0.8664362), ('Vandalism', 0.84204006), ('Arson', 0.8413483), ('Robbery', 0.83111894), ('Shoplifting', 0.752238)]
RoadAccidents092: [('Explosion', 0.87486786), ('Burglary', 0.85910386), ('Normal Videos', 0.8467798), ('Road Accidents', 0.84305793), ('Fighting', 0.83706), ('Abuse', 0.83676696), ('Stealing', 0.83619213), ('Assault', 0.8329855), ('Shooting', 0.83156824), ('Arrest', 0.8279773), ('Vandalism', 0.8188302), ('Arson', 0.81187457), ('Robbery', 0.8084682), ('Shoplifting', 0.7102125)]
RoadAccidents010: [('Explosion', 0.89896166), ('Fighting', 0.87104475), ('Normal Videos', 0.8708673), ('Assault', 0.86929995), ('Shooting', 0.86761785), ('Abuse', 0.86562246), ('Road Accidents', 0.8631199), ('Arrest', 0.8617564), ('Stealing', 0.8595941), ('Burglary', 0.85910386), ('Arson', 0.82901025), ('Vandalism', 0.8211717), ('Robbery', 0.814685), ('Shoplifting', 0.7038218)]
RoadAccidents126: [('Explosion', 0.9295166), ('Fighting', 0.92616975), ('Shooting', 0.9257009), ('Abuse', 0.92435586), ('Normal Videos', 0.92378145), ('Assault', 0.9219277), ('Road Accidents', 0.9200701), ('Stealing', 0.9165268), ('Arrest', 0.9149997), ('Burglary', 0.8864087), ('Arson', 0.8703407), ('Robbery', 0.86867094), ('Vandalism', 0.8636799), ('Shoplifting', 0.78028846)]
RoadAccidents146: [('Explosion', 0.92568004), ('Assault', 0.92532253), ('Fighting', 0.9232489), ('Abuse', 0.921161), ('Shooting', 0.92077863), ('Stealing', 0.91161144), ('Arrest', 0.91129315), ('Normal Videos', 0.9049947), ('Burglary', 0.87236744), ('Road Accidents', 0.86587054), ('Robbery', 0.84302974), ('Arson', 0.8355293), ('Vandalism', 0.82767266), ('Shoplifting', 0.7350978)]
RoadAccidents128: [('Explosion', 0.8496948), ('Road Accidents', 0.84436643), ('Burglary', 0.830185), ('Normal Videos', 0.8242817), ('Shooting', 0.82017195), ('Stealing', 0.8114103), ('Fighting', 0.8071685), ('Assault', 0.80647707), ('Vandalism', 0.8062138), ('Abuse', 0.8056533), ('Robbery', 0.79913163), ('Arrest', 0.7990583), ('Arson', 0.7897203), ('Shoplifting', 0.7310338)]
RoadAccidents039: [('Explosion', 0.8930912), ('Normal Videos', 0.86466944), ('Fighting', 0.86277515), ('Burglary', 0.8606931), ('Assault', 0.8594748), ('Abuse', 0.85677373), ('Shooting', 0.85581386), ('Road Accidents', 0.85258484), ('Arrest', 0.85064304), ('Stealing', 0.8461561), ('Vandalism', 0.8276889), ('Arson', 0.8203199), ('Robbery', 0.80363595), ('Shoplifting', 0.70542216)]
RoadAccidents116: [('Explosion', 0.90108633), ('Fighting', 0.89691645), ('Stealing', 0.8903495), ('Abuse', 0.88639045), ('Assault', 0.8836592), ('Shooting', 0.8819871), ('Normal Videos', 0.8806607), ('Arrest', 0.8762233), ('Road Accidents', 0.863415), ('Burglary', 0.84693754), ('Robbery', 0.8394543), ('Vandalism', 0.83379024), ('Arson', 0.8213595), ('Shoplifting', 0.7951292)]
RoadAccidents148: [('Explosion', 0.9293721), ('Normal Videos', 0.9282298), ('Shooting', 0.9213266), ('Road Accidents', 0.9200406), ('Fighting', 0.919314), ('Abuse', 0.9180622), ('Assault', 0.9176635), ('Stealing', 0.91084903), ('Arrest', 0.9070774), ('Burglary', 0.887059), ('Robbery', 0.8602248), ('Vandalism', 0.8531656), ('Arson', 0.8451693), ('Shoplifting', 0.7643635)]
