RoadAccidents055: [('Road Accidents', 0.07695595175027847), ('Vandalism', 0.07571670413017273), ('Burglary', 0.07565369457006454), ('Explosion', 0.07453817874193192), ('Normal Videos', 0.07420826703310013), ('Shooting', 0.07357527315616608), ('Arson', 0.07259051501750946), ('Assault', 0.07252202928066254), ('Fighting', 0.07233685255050659), ('Arrest', 0.07230823487043381), ('Abuse', 0.07222224771976471), ('Robbery', 0.07170618325471878), ('Stealing', 0.07137943804264069), ('Shoplifting', 0.06861807405948639)]
RoadAccidents100: [('Explosion', 0.07383372634649277), ('Fighting', 0.07377328723669052), ('Abuse', 0.07348939776420593), ('Normal Videos', 0.07344754785299301), ('Assault', 0.07323408871889114), ('Road Accidents', 0.07275719940662384), ('Shooting', 0.07271960377693176), ('Stealing', 0.07244591414928436), ('Arrest', 0.072418712079525), ('Burglary', 0.07220849394798279), ('Robbery', 0.0710621103644371), ('Vandalism', 0.07025427371263504), ('Arson', 0.0696006715297699), ('Shoplifting', 0.06649981439113617)]
RoadAccidents137: [('Burglary', 0.0751543939113617), ('Explosion', 0.07506345212459564), ('Vandalism', 0.07370894402265549), ('Road Accidents', 0.0736151784658432), ('Fighting', 0.07284051924943924), ('Normal Videos', 0.07276895642280579), ('Assault', 0.07270099222660065), ('Abuse', 0.07258932292461395), ('Shooting', 0.07247008383274078), ('Stealing', 0.07220195233821869), ('Arrest', 0.07218409329652786), ('Robbery', 0.0712822675704956), ('Arson', 0.07093042135238647), ('Shoplifting', 0.06634146720170975)]
RoadAccidents088: [('Explosion', 0.07567626237869263), ('Road Accidents', 0.07510460168123245), ('Shooting', 0.07383882254362106), ('Assault', 0.07371900975704193), ('Fighting', 0.07358823716640472), ('Normal Videos', 0.07321473211050034), ('Burglary', 0.07308617234230042), ('Arrest', 0.07283711433410645), ('Abuse', 0.07279177010059357), ('Stealing', 0.07143586128950119), ('Vandalism', 0.07002758979797363), ('Arson', 0.06971380859613419), ('Robbery', 0.06857810914516449), ('Shoplifting', 0.060868117958307266)]
RoadAccidents124: [('Vandalism', 0.07760148495435715), ('Burglary', 0.07639019936323166), ('Explosion', 0.07613582909107208), ('Shoplifting', 0.07527683675289154), ('Road Accidents', 0.07497550547122955), ('Assault', 0.07486097514629364), ('Normal Videos', 0.0745619460940361), ('Abuse', 0.07445339113473892), ('Shooting', 0.07440397888422012), ('Fighting', 0.07432480156421661), ('Arrest', 0.0741984024643898), ('Stealing', 0.07387024164199829), ('Robbery', 0.07335589081048965), ('Arson', 0.07174474000930786)]
RoadAccidents134: [('Burglary', 0.07622043788433075), ('Road Accidents', 0.07501819729804993), ('Explosion', 0.07485783100128174), ('Normal Videos', 0.07318795472383499), ('Vandalism', 0.0731474980711937), ('Fighting', 0.07213088870048523), ('Stealing', 0.0718386098742485), ('Abuse', 0.07161718606948853), ('Assault', 0.0715859979391098), ('Shooting', 0.07156345248222351), ('Arrest', 0.0712912306189537), ('Arson', 0.07075241208076477), ('Robbery', 0.07044041156768799), ('Shoplifting', 0.0648893415927887)]
RoadAccidents120: [('Burglary', 0.07732361555099487), ('Explosion', 0.07568912953138351), ('Vandalism', 0.07558410614728928), ('Assault', 0.07536173611879349), ('Shooting', 0.07535234093666077), ('Abuse', 0.07482188940048218), ('Road Accidents', 0.07479743659496307), ('Normal Videos', 0.07473617047071457), ('Fighting', 0.07469993829727173), ('Arrest', 0.07427183538675308), ('Stealing', 0.07360780984163284), ('Robbery', 0.07208134233951569), ('Arson', 0.071388378739357), ('Shoplifting', 0.06848295032978058)]
RoadAccidents079: [('Burglary', 0.07632063329219818), ('Vandalism', 0.07527454197406769), ('Road Accidents', 0.07466208934783936), ('Explosion', 0.07434523850679398), ('Normal Videos', 0.07379577308893204), ('Robbery', 0.07258617132902145), ('Stealing', 0.07234429568052292), ('Shooting', 0.07223989069461823), ('Abuse', 0.07221738249063492), ('Fighting', 0.07221110165119171), ('Assault', 0.07189679890871048), ('Arrest', 0.07181680202484131), ('Arson', 0.07158605009317398), ('Shoplifting', 0.068631611764431)]
RoadAccidents076: [('Burglary', 0.07754643261432648), ('Road Accidents', 0.0770992860198021), ('Vandalism', 0.07704450190067291), ('Explosion', 0.0752866119146347), ('Arson', 0.07460981607437134), ('Assault', 0.07425934076309204), ('Fighting', 0.0740094929933548), ('Abuse', 0.0738263949751854), ('Shooting', 0.07377050817012787), ('Normal Videos', 0.07356663048267365), ('Arrest', 0.07335931062698364), ('Shoplifting', 0.07326037436723709), ('Robbery', 0.07287740707397461), ('Stealing', 0.07278575003147125)]
RoadAccidents092: [('Burglary', 0.07622043788433075), ('Explosion', 0.07518237084150314), ('Road Accidents', 0.07501819729804993), ('Vandalism', 0.0731474980711937), ('Normal Videos', 0.07284955680370331), ('Fighting', 0.07214490324258804), ('Abuse', 0.07212376594543457), ('Stealing', 0.07208231836557388), ('Assault', 0.07185154408216476), ('Shooting', 0.07174978405237198), ('Arrest', 0.07149259746074677), ('Robbery', 0.07078766822814941), ('Arson', 0.0707562193274498), ('Shoplifting', 0.0648893415927887)]
RoadAccidents010: [('Explosion', 0.0751810222864151), ('Burglary', 0.07410470396280289), ('Vandalism', 0.0736612007021904), ('Normal Videos', 0.07359986752271652), ('Robbery', 0.07320746034383774), ('Fighting', 0.07311122119426727), ('Assault', 0.0729837715625763), ('Shooting', 0.07286111265420914), ('Road Accidents', 0.07279904931783676), ('Abuse', 0.0727158710360527), ('Arrest', 0.07243528217077255), ('Stealing', 0.07227882742881775), ('Shoplifting', 0.07160577923059464), ('Arson', 0.0703742727637291)]
RoadAccidents126: [('Road Accidents', 0.07775838673114777), ('Explosion', 0.07532384991645813), ('Burglary', 0.07482035458087921), ('Shooting', 0.07442182302474976), ('Fighting', 0.07437068223953247), ('Abuse', 0.07423590868711472), ('Normal Videos', 0.07419327646493912), ('Assault', 0.07405586540699005), ('Stealing', 0.07365697622299194), ('Arrest', 0.07354458421468735), ('Vandalism', 0.07252557575702667), ('Arson', 0.07239895313978195), ('Robbery', 0.07060285657644272), ('Shoplifting', 0.06570235639810562)]
RoadAccidents146: [('Burglary', 0.07550989836454391), ('Explosion', 0.07523255795240402), ('Vandalism', 0.07502158731222153), ('Assault', 0.07501652091741562), ('Fighting', 0.07486112415790558), ('Abuse', 0.07470498234033585), ('Shooting', 0.07467642426490784), ('Road Accidents', 0.0746685191988945), ('Stealing', 0.07399497926235199), ('Arrest', 0.07397143542766571), ('Normal Videos', 0.07367323338985443), ('Robbery', 0.0721481442451477), ('Arson', 0.07095029950141907), ('Shoplifting', 0.07032588124275208)]
RoadAccidents128: [('Burglary', 0.0763053223490715), ('Vandalism', 0.07597926259040833), ('Explosion', 0.0750299021601677), ('Road Accidents', 0.07501819729804993), ('Normal Videos', 0.07324405014514923), ('Shooting', 0.07316891849040985), ('Robbery', 0.07267864793539047), ('Fighting', 0.07222362607717514), ('Stealing', 0.07221171259880066), ('Assault', 0.07217370718717575), ('Abuse', 0.07197798043489456), ('Arrest', 0.0716402530670166), ('Arson', 0.07133887708187103), ('Shoplifting', 0.06989755481481552)]
RoadAccidents039: [('Burglary', 0.07622043788433075), ('Explosion', 0.07525791972875595), ('Road Accidents', 0.07501819729804993), ('Vandalism', 0.07345322519540787), ('Normal Videos', 0.07314907014369965), ('Fighting', 0.0730106309056282), ('Assault', 0.07277006655931473), ('Abuse', 0.07257378101348877), ('Shooting', 0.07250414788722992), ('Arrest', 0.07213021069765091), ('Stealing', 0.07180729508399963), ('Arson', 0.07089048624038696), ('Robbery', 0.07070363312959671), ('Shoplifting', 0.06520255655050278)]
RoadAccidents116: [('Road Accidents', 0.07501240074634552), ('Explosion', 0.07468010485172272), ('Fighting', 0.07436934858560562), ('Stealing', 0.0738825723528862), ('Burglary', 0.07378651201725006), ('Abuse', 0.07359064370393753), ('Assault', 0.0733899176120758), ('Shooting', 0.07326731085777283), ('Robbery', 0.07322851568460464), ('Normal Videos', 0.07317019253969193), ('Arrest', 0.07284622639417648), ('Vandalism', 0.07281491905450821), ('Arson', 0.0719231367111206), ('Shoplifting', 0.07005354017019272)]
RoadAccidents148: [('Road Accidents', 0.07813992351293564), ('Burglary', 0.07691273838281631), ('Explosion', 0.07532723248004913), ('Vandalism', 0.07512927800416946), ('Normal Videos', 0.07460185885429382), ('Assault', 0.07439014315605164), ('Fighting', 0.07430832833051682), ('Abuse', 0.07427557557821274), ('Shooting', 0.07423301786184311), ('Arrest', 0.07345281541347504), ('Stealing', 0.07331642508506775), ('Robbery', 0.07320746034383774), ('Arson', 0.07213585823774338), ('Shoplifting', 0.07160577923059464)]
RoadAccidents103: [('Explosion', 0.0757632777094841), ('Burglary', 0.07551167905330658), ('Road Accidents', 0.07471361011266708), ('Assault', 0.07467810809612274), ('Fighting', 0.07448218762874603), ('Shooting', 0.07445260137319565), ('Normal Videos', 0.07415029406547546), ('Arrest', 0.07406722754240036), ('Abuse', 0.07386711984872818), ('Stealing', 0.07368864119052887), ('Robbery', 0.07322851568460464), ('Vandalism', 0.07282718271017075), ('Arson', 0.07116200774908066), ('Shoplifting', 0.07059600204229355)]
RoadAccidents074: [('Vandalism', 0.07974714040756226), ('Burglary', 0.07868879288434982), ('Road Accidents', 0.07854658365249634), ('Shoplifting', 0.07625062018632889), ('Arson', 0.07592004537582397), ('Robbery', 0.07472092658281326), ('Explosion', 0.0742114931344986), ('Normal Videos', 0.07413067668676376), ('Shooting', 0.07361482828855515), ('Fighting', 0.07256518304347992), ('Abuse', 0.07233315706253052), ('Assault', 0.07225561887025833), ('Stealing', 0.07207445800304413), ('Arrest', 0.07187696546316147)]
RoadAccidents012: [('Explosion', 0.07646339386701584), ('Assault', 0.07541659474372864), ('Burglary', 0.07537134736776352), ('Fighting', 0.07469973713159561), ('Abuse', 0.07454686611890793), ('Arrest', 0.07449085265398026), ('Shooting', 0.07439962029457092), ('Vandalism', 0.07414930313825607), ('Road Accidents', 0.07383888214826584), ('Normal Videos', 0.0733400285243988), ('Stealing', 0.07296303659677505), ('Robbery', 0.07277674227952957), ('Arson', 0.07125764340162277), ('Shoplifting', 0.06972389668226242)]
RoadAccidents006: [('Explosion', 0.07584310322999954), ('Burglary', 0.07554612308740616), ('Vandalism', 0.07496767491102219), ('Road Accidents', 0.07385621219873428), ('Robbery', 0.07313591986894608), ('Assault', 0.0730956494808197), ('Fighting', 0.07293771952390671), ('Shooting', 0.07267497479915619), ('Normal Videos', 0.0725572481751442), ('Arrest', 0.07239958643913269), ('Abuse', 0.07225660234689713), ('Shoplifting', 0.07185115665197372), ('Stealing', 0.07108834385871887), ('Arson', 0.07096122205257416)]
RoadAccidents102: [('Burglary', 0.07677973806858063), ('Road Accidents', 0.07520120590925217), ('Explosion', 0.07460115849971771), ('Vandalism', 0.0738762766122818), ('Normal Videos', 0.07261235266923904), ('Abuse', 0.0719878077507019), ('Assault', 0.07172185927629471), ('Fighting', 0.0717088058590889), ('Arson', 0.07150943577289581), ('Shooting', 0.07129283994436264), ('Arrest', 0.07100147008895874), ('Stealing', 0.0708155557513237), ('Robbery', 0.07009290903806686), ('Shoplifting', 0.06475085765123367)]
