RoadAccidents055_x264: [('Road Accidents', 0.07655795), ('Vandalism', 0.07618109), ('Burglary', 0.07535075), ('Normal Videos', 0.07352999), ('Arson', 0.072182134), ('Explosion', 0.071565166), ('Robbery', 0.07052415), ('Shooting', 0.07033746), ('Abuse', 0.069441), ('Fighting', 0.069360316), ('Shoplifting', 0.0691673), ('Assault', 0.06883312), ('Arrest', 0.0687745), ('Stealing', 0.06819511)]
RoadAccidents100_x264: [('Road Accidents', 0.07767984), ('Burglary', 0.074939616), ('Vandalism', 0.074506395), ('Explosion', 0.07259384), ('Normal Videos', 0.07226036), ('Arson', 0.07208357), ('Shooting', 0.07071959), ('Fighting', 0.07042277), ('Abuse', 0.069992326), ('Assault', 0.069926694), ('Robbery', 0.069586836), ('Arrest', 0.06947709), ('Stealing', 0.06849246), ('Shoplifting', 0.067318626)]
RoadAccidents137_x264: [('Burglary', 0.0799779), ('Vandalism', 0.07933061), ('Shoplifting', 0.077111006), ('Road Accidents', 0.076506495), ('Arson', 0.07495305), ('Robbery', 0.07259194), ('Normal Videos', 0.072300404), ('Explosion', 0.070294775), ('Fighting', 0.0670623), ('Abuse', 0.06673565), ('Stealing', 0.066561796), ('Shooting', 0.06636084), ('Arrest', 0.06542853), ('Assault', 0.064784676)]
RoadAccidents088_x264: [('Road Accidents', 0.07749412), ('Burglary', 0.07596778), ('Vandalism', 0.075842306), ('Arson', 0.0750991), ('Shoplifting', 0.073326275), ('Normal Videos', 0.07291806), ('Robbery', 0.07108297), ('Explosion', 0.07022955), ('Fighting', 0.06934037), ('Shooting', 0.06912257), ('Abuse', 0.067628086), ('Arrest', 0.06748635), ('Assault', 0.06742723), ('Stealing', 0.0670352)]
RoadAccidents124_x264: [('Vandalism', 0.080372885), ('Shoplifting', 0.07853781), ('Road Accidents', 0.07733121), ('Burglary', 0.07732692), ('Arson', 0.07375286), ('Normal Videos', 0.07261653), ('Robbery', 0.072607905), ('Explosion', 0.06915201), ('Fighting', 0.06755314), ('Shooting', 0.06708802), ('Abuse', 0.06681406), ('Stealing', 0.06636353), ('Arrest', 0.065591425), ('Assault', 0.06489166)]
RoadAccidents134_x264: [('Burglary', 0.07880217), ('Vandalism', 0.078566186), ('Road Accidents', 0.077367164), ('Shoplifting', 0.074338965), ('Arson', 0.07340059), ('Normal Videos', 0.072476394), ('Robbery', 0.071975864), ('Explosion', 0.070678934), ('Fighting', 0.06803812), ('Abuse', 0.06742646), ('Shooting', 0.06739608), ('Stealing', 0.06722439), ('Arrest', 0.06643378), ('Assault', 0.06587495)]
RoadAccidents120_x264: [('Vandalism', 0.07640222), ('Road Accidents', 0.07629033), ('Burglary', 0.07603287), ('Shoplifting', 0.07440447), ('Normal Videos', 0.074145876), ('Arson', 0.07314325), ('Robbery', 0.071962126), ('Explosion', 0.070937894), ('Shooting', 0.06878341), ('Fighting', 0.06861474), ('Abuse', 0.067870356), ('Stealing', 0.06749611), ('Arrest', 0.067309245), ('Assault', 0.066607125)]
RoadAccidents079_x264: [('Burglary', 0.07458403), ('Shoplifting', 0.074219026), ('Normal Videos', 0.07410967), ('Road Accidents', 0.0739796), ('Vandalism', 0.07392385), ('Arson', 0.0724058), ('Robbery', 0.07109096), ('Explosion', 0.07070589), ('Shooting', 0.070338584), ('Fighting', 0.06972098), ('Stealing', 0.06945005), ('Abuse', 0.06913361), ('Arrest', 0.068834595), ('Assault', 0.06750338)]
RoadAccidents076_x264: [('Road Accidents', 0.076134324), ('Vandalism', 0.07410906), ('Burglary', 0.073599346), ('Arson', 0.07296187), ('Normal Videos', 0.07267672), ('Explosion', 0.07116851), ('Robbery', 0.07086601), ('Shooting', 0.070581235), ('Fighting', 0.07047881), ('Arrest', 0.06996008), ('Abuse', 0.069623515), ('Shoplifting', 0.06949339), ('Assault', 0.069219425), ('Stealing', 0.06912767)]
RoadAccidents092_x264: [('Burglary', 0.07807044), ('Road Accidents', 0.07718992), ('Vandalism', 0.07631232), ('Shoplifting', 0.07425109), ('Arson', 0.074151315), ('Normal Videos', 0.071606874), ('Robbery', 0.071586855), ('Explosion', 0.0708933), ('Fighting', 0.069009334), ('Shooting', 0.068256624), ('Abuse', 0.06800058), ('Stealing', 0.06721417), ('Arrest', 0.06695509), ('Assault', 0.066502094)]
RoadAccidents010_x264: [('Vandalism', 0.0757227), ('Road Accidents', 0.07473723), ('Burglary', 0.07422241), ('Normal Videos', 0.07379439), ('Shoplifting', 0.07247408), ('Arson', 0.072293155), ('Explosion', 0.07184748), ('Robbery', 0.071641535), ('Fighting', 0.06986401), ('Stealing', 0.06959337), ('Abuse', 0.069341205), ('Shooting', 0.068997465), ('Arrest', 0.06806836), ('Assault', 0.067402616)]
