RoadAccidents055_x264: [('Accident, accident ', 0.32139182), ('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.3197269), ('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.29305834), ('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.26482812), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.257609), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.2534225), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.21510439), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.21475267), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.21243846), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.20599487), ('Assault,attack, physical attack, aggression,violence, strike', 0.20560116), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.20433208), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.19698219), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.19336402)]
RoadAccidents100_x264: [('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.44079435), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.38464785), ('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.36395407), ('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.33099955), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.32320797), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.3154679), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.31471467), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.3113879), ('Accident, accident ', 0.3052606), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.29623532), ('Assault,attack, physical attack, aggression,violence, strike', 0.28297716), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.2766006), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.24036682), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.19549176)]
RoadAccidents137_x264: [('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.32288104), ('Accident, accident ', 0.3146181), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.29610997), ('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.28982013), ('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.27619767), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.27570662), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.27222478), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.23426813), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.23012051), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.22191304), ('Assault,attack, physical attack, aggression,violence, strike', 0.21849573), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.21445873), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.20742485), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.15997094)]
RoadAccidents088_x264: [('Accident, accident ', 0.33407623), ('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.31852424), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.27548024), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.25473556), ('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.24931064), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.24086127), ('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.23931578), ('Assault,attack, physical attack, aggression,violence, strike', 0.23758915), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.22528498), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.2252394), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.22339776), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.18776792), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.17355566), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.1061561)]
RoadAccidents124_x264: [('Accident, accident ', 0.40354407), ('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.32756627), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.2864185), ('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.2737156), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.26302695), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.26176524), ('Assault,attack, physical attack, aggression,violence, strike', 0.25931025), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.24603371), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.24391684), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.22088994), ('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.22068585), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.21282476), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.20448016), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.1533474)]
RoadAccidents134_x264: [('Accident, accident ', 0.29371727), ('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.27119368), ('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.25936258), ('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.24050385), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.23992431), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.23250182), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.21283585), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.20449704), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.19034588), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.18301076), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.17243393), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.16714221), ('Assault,attack, physical attack, aggression,violence, strike', 0.14814028), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.08781105)]
RoadAccidents120_x264: [('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.32991144), ('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.2988637), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.28687876), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.2792264), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.26519293), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.25510257), ('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.24865921), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.23277852), ('Accident, accident ', 0.22119817), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.21897754), ('Assault,attack, physical attack, aggression,violence, strike', 0.21489146), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.20746687), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.19521408), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.18030713)]
RoadAccidents079_x264: [('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.23263709), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.18052302), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.16983119), ('Accident, accident ', 0.15322557), ('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.1470525), ('Assault,attack, physical attack, aggression,violence, strike', 0.14533721), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.1366639), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.1320592), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.12797649), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.12753744), ('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.119372204), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.103772685), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.100918815), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.07968685)]
RoadAccidents076_x264: [('Accident, accident ', 0.46620333), ('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.34022695), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.28554928), ('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.25535756), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.2358232), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.23243254), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.22932062), ('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.22333154), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.22061369), ('Assault,attack, physical attack, aggression,violence, strike', 0.20766464), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.18648171), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.17350852), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.17266229), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.1593016)]
RoadAccidents092_x264: [('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.3789522), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.34645227), ('Accident, accident ', 0.33037513), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.32557297), ('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.3165064), ('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.3001086), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.27466103), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.264593), ('Assault,attack, physical attack, aggression,violence, strike', 0.2567987), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.23214866), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.23178205), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.19939366), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.19564074), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.19425161)]
RoadAccidents010_x264: [('Vandalism,Vandalism,destruction, defacement, sabotage,graffiti, wrecking, ruin', 0.34371668), ('Accident, accident ', 0.33196425), ('Arrest,detain, apprehend, capture, take into custody, seize,law enforcement, police, handcuffs, booking, incarceration, detention', 0.3278977), ('Burglary,break-in, robbery, housebreaking, theft,intrusion, trespassing, stealing, larceny, heist, pilfering', 0.27041346), ('Robbery,theft, heist, larceny, hold-up, mugging,burglary, stealing, pilfering, banditry, thievery, looting', 0.2620495), ('Normal Videos,routine, ordinary, standard, typical, regular,everyday, usual, common, mundane, conventional, normalcy', 0.2468493), ('Assault,attack, physical attack, aggression,violence, strike', 0.24551399), ('Arson,fire-raising, incendiarism, pyromania, torching,fire, blaze, ignition, burning, conflagration, fire-setting', 0.2341653), ('Stealing,theft, larceny, robbery, pilfering, thievery,embezzlement, burglary, shoplifting, swiping, looting, filching', 0.23326911), ('Abuse,Abuse,maltreatment, mistreatment, cruelty, harm, exploitation, violence, harassment, injury, oppression, torment', 0.22176191), ('Explosion,blast, detonation, eruption, blowup,bomb, burst, combustion, detonate, rupture, outburst', 0.22092304), ('Shoplifting,theft, pilfering, larceny, stealing,shop theft, retail theft, snatching, shop burglarizing, petty theft', 0.2145293), ('Fighting,brawling, combat, conflict, struggle, tussle,altercation, skirmish, clash, scuffle, fray, melee', 0.21205018), ('Shooting,gunfire, gunfight, gunplay, firing, discharge,firearm, bullet, shootout, sniper, marksman, ballistics', 0.18731534)]
